,ITEMID,LABEL_CN,LABEL,FLUID,FREQUENCY
5111,5111,淋巴细胞,"Lymphocytes, Percent",Blood,0.9423286180631121
5132,5132,红细胞计数,Red Blood Cells,Blood,0.9423286180631121
5113,5113,平均血红蛋白量,MCH,Blood,0.9423286180631121
5141,5141,白细胞计数,WBC Count,Blood,0.9423286180631121
5493,5493,嗜碱性粒细胞绝对值,Basophils Count,Blood,0.9423286180631121
5095,5095,中性粒细胞,Neutrophils %,Blood,0.9423286180631121
5492,5492,嗜碱性粒细胞,Basophils,Blood,0.9423286180631121
6318,6318,嗜酸性粒细胞绝对值,Eosinophil Count,Blood,0.9423286180631121
5099,5099,血红蛋白,Hemoglobin,Blood,0.9423286180631121
5115,5115,平均红细胞体积,MCV,Blood,0.9423286180631121
5136,5136,红细胞分布宽度,RDW,Blood,0.9423286180631121
5110,5110,淋巴细胞绝对值,Absolute Lymphocyte Count,Blood,0.9423286180631121
5129,5129,血小板计数,Platelet Count,Blood,0.9423286180631121
5097,5097,红细胞压积,Hematocrit,Blood,0.9423286180631121
6316,6316,单核细胞绝对值,Monocyte Count,Blood,0.9423286180631121
5114,5114,平均血红蛋白浓度,MCHC,Blood,0.9423286180631121
5094,5094,中性粒细胞绝对值,Neutrophils,Blood,0.9423286180631121
5002,5002,嗜酸性粒细胞,Eosinophils,Blood,0.9385201305767138
5127,5127,血小板压积,PCT,Blood,0.9374319912948857
5248,5248,标准碳酸氢根 SBC,Bicarbonate,Blood,0.9347116430903155
5249,5249,标准碱剩余 SBE,Base Excess,Blood,0.9347116430903155
5227,5227,乳酸 Lac,Lactate,Blood,0.9347116430903155
5218,5218,氯 Cl-,"Chloride, Whole Blood",Blood,0.9347116430903155
5224,5224,碳酸氢根HCO3-,"Calculated Bicarbonate, Whole Blood",Blood,0.9347116430903155
5225,5225,红细胞压积Hct,Hematocrit,Blood,0.9347116430903155
5237,5237,酸碱度 pH,pH,Blood,0.9347116430903155
5226,5226,钾 K+,Potassium,Other Body Fluid,0.9347116430903155
5235,5235,二氧化碳分压 pCO2,pCO2,Blood,0.9347116430903155
5211,5211,实际碱剩余 ABE,Base Excess,Blood,0.9347116430903155
5239,5239,氧分压 pO2,pO2,Blood,0.9347116430903155
5215,5215,钙（离子） Ca2+,"Calcium, Total",Blood,0.9347116430903155
5252,5252,氧饱和度 sO2,Oxygen Saturation,Blood,0.9347116430903155
5219,5219,碳氧血红蛋白 COHb,Carboxyhemoglobin,Blood,0.9347116430903155
5230,5230,钠 Na+,"Sodium, Whole Blood",Blood,0.9347116430903155
5228,5228,高铁血红蛋白 MetHb,Methemoglobin,Blood,0.9347116430903155
5257,5257,血红蛋白 Hb,Hemoglobin,Blood,0.9347116430903155
5128,5128,血小板分布宽度,Platelet distribution width,Blood,0.9341675734494015
5223,5223,葡萄糖 Glu(电极法）,Glucose,Blood,0.9298150163220892
6317,6317,单核细胞,Monocytes,Blood,0.9194776931447225
5120,5120,平均血小板体积,Mean Platelet Volume (MPV),Blood,0.9058759521218716
5186,5186,被 检 者：凝血酶原时间(PT),PT,Blood,0.8781284004352558
5178,5178,正常对照：凝血酶原时间（PT）,Reference:PT,Blood,0.8781284004352558
5174,5174,国际标准化比率(INR),INR(PT),Blood,0.8781284004352558
5175,5175,正常对照：活化部分凝血活酶时间APTT,Reference: APTT,Blood,0.8781284004352558
5161,5161,被 检 者： 活化部分凝血活酶时间,PTT,Blood,0.8775843307943417
5026,5026,丙氨酸氨基转移酶,Alanine Aminotransferase (ALT),Blood,0.8732317736670294
5033,5033,尿素,Urea,Blood,0.8705114254624592
5041,5041,肌酐,Creatinine,Blood,0.8705114254624592
6473,6473,血清脂浊指数（Lip）,Lipase,Blood,0.8683351468988031
6472,6472,血清黄疸指数（Ict）,Serum  icteric index,Blood,0.8683351468988031
6471,6471,血清溶血指数(Hem),Serum hemolytic index,Blood,0.8677910772578891
5078,5078,总蛋白,"Protein, Total",Blood,0.8661588683351469
5024,5024,白蛋白,Albumin,Blood,0.8661588683351469
5021,5021,白球比例,ALB/GLB,Blood,0.8661588683351469
5046,5046,球蛋白,Globulin,Blood,0.8661588683351469
5025,5025,碱性磷酸酶,Alkaline Phosphatase,Blood,0.8661588683351469
5031,5031,天门冬氨酸氨基转移酶,Asparate Aminotransferase (AST),Blood,0.8661588683351469
6236,6236,胆碱脂酶,Cholinesterase,Blood,0.8661588683351469
5045,5045,γ-谷氨酰基转移酶,Gamma Glutamyltransferase,Blood,0.8661588683351469
5306,5306,前白蛋白,Prealbumin,Blood,0.8661588683351469
5083,5083,尿酸,"Uric Acid, Urine",Urine,0.8650707290533188
6857,6857,补体C1q,C1q,Blood,0.8650707290533188
6261,6261,胱抑素C,Cystatin C,Blood,0.8650707290533188
5042,5042,直接胆红素,"Bilirubin, Direct",Blood,0.8645266594124048
5022,5022,腺苷脱氨酶,adenosine deaminase,Blood,0.8623503808487486
5055,5055,间接胆红素,"Bilirubin, Indirect",Blood,0.8509249183895539
5074,5074,总胆汁酸,Total Bile Acid,,0.8487486398258978
5075,5075,总胆红素,"Bilirubin, Total",Blood,0.8427638737758433
5212,5212,阴离子间隙 AG,Anion Gap,Blood,0.5908596300326442
5626,5626,超敏C反应蛋白,C-Reactive Protein,Blood,0.4434167573449401
6841,6841,ALY%,Atypical Lymphocytes,Blood,0.43416757344940154
6842,6842,LIC%,LIC%,Blood,0.43362350380848746
